size,lowbm,bm2,bm3,bm4,highbm
1,.66310889,.82308549,.88939887,.92884302,.92870039
2,.91002345,.93430829,.9342767,.95173812,.95232034
3,.9269622,.92986965,.92660707,.93443334,.92351544
4,.93081182,.92318815,.91569769,.91533923,.91047788
5,.95569509,.92806184,.90460336,.92326939,.83627445
