size,lowbm,bm2,bm3,bm4,highbm
1,-.67984319,-.40941635,-.12697518,.069690242,.14086919
2,-.21891716,.011485979,.015684774,.025588594,.032463096
3,-.11747294,.092841126,.048694983,.039966371,-.062566593
4,.050379593,-.0083721094,-.010250095,.02125006,-.16785792
5,.096494392,-.0013945529,-.031614691,-.23746331,-.17742079
