size,lowbm,bm2,bm3,bm4,highbm
1,-.54459828,-.30812645,.034476712,.25025636,.39931867
2,-.23577061,.07392893,.126737,.19440535,.27732739
3,-.14339171,.12276773,.14160652,.19174568,.16622089
4,-.018311718,.025384368,.080650523,.16499762,.071459606
5,.026376517,-.0016889964,.040494312,-.08546859,.059301034
