size,lowbm,bm2,bm3,bm4,highbm
1,.35379237,.20584428,.49513438,.57496446,.88945562
2,-.22973864,.11820253,.34353796,.58275056,.88370365
3,-.21991965,.045859568,.32142544,.56123304,.86401772
4,-.33100012,.10594331,.34681115,.56465536,.94509268
5,-.26910657,.025406195,.33034241,.65358317,.99837345
