size,lowbm,bm2,bm3,bm4,highbm
1,1.4762152,1.5305774,1.2390809,1.2333072,1.2873193
2,1.1505064,1.0060723,.83095354,.82816631,.92493194
3,.81051916,.55973607,.45078355,.47650665,.58865517
4,.33782968,.24167101,.20854895,.21321502,.31882444
5,-.14945814,-.1913708,-.23153318,-.18090665,-.14129995
