size,lowbm,bm2,bm3,bm4,highbm
1,.51092607,.58879358,.66726798,.66034299,.62336409
2,.71842653,.76697135,.78216219,.75677848,.71329063
3,.81133473,.86188215,.8493886,.8071053,.74304962
4,.87334067,.9047358,.86739355,.82131785,.74701238
5,.9165737,.91611981,.84996796,.79947388,.6687668
